City,Pr/St,Cntry,lat,lng
St. Petersburg,,RUS,59.97693,30.27554
Kempele,,FIN,64.91292,25.50347
Smithers,BC,CAN,49.30337,-124.3389
Traverse City,MI,USA,44.759092,-85.605469
Plymouth,,GBR,50.371266,-4.142566
Turku,,FIN,60.41791,22.45526
Rimouski,QC,CAN,45.4425,-73.47676
Cole Harbour,NS,CAN,45.26528,-61.26034
Kuopio,,FIN,62.89333,27.67933
Eksjo,,SWE,58.89119,17.83509
Bulach,,CHE,47.51917,8.54043
Pittsburgh,PA,USA,40.442169,-79.994945
Saint-Augustin,QC,CAN,46.6656,-71.23303
Brampton,ON,CAN,43.25055,-79.77775
Huntsville,AL,USA,34.577718,-86.835836
St. Gallen,,CHE,47.22746,9.23499
Volketswil,,CHE,47.38954,8.68757
Klagenfurt,,AUT,46.62367,14.30759
Herisau,,CHE,47.38585,9.27885
Orebro,,SWE,59.38738,15.04728
Sorel,QC,CAN,48.40747,-71.19196
Tampere,,FIN,60.61146,24.80537
Ste-Agathe-Des-Monts,QC,CAN,46.24152,-74.08475
Laval,QC,CAN,45.58373,-73.75007
Petawawa,ON,CAN,45.88554,-77.25718
Orland Park,IL,USA,41.623192,-87.851282
Elkhorn,MB,CAN,49.92136,-97.19822
Scarborough,ON,CAN,43.68356,-79.28836
Linkoping,,SWE,58.41374,15.62351
Strathroy,ON,CAN,43.55653,-79.67567
Bern,,CHE,46.83586,7.65833
Longueuil,QC,CAN,45.60965,-72.97444
Lansing,MI,USA,42.733625,-84.553927
Chatham,ON,CAN,43.25615,-79.89398
Golden,BC,CAN,49.03574,-118.42982
St-Hyacinthe,QC,CAN,45.27499,-71.20462
Ellwood City,PA,USA,40.850506,-80.285069
Brandon,MB,CAN,49.83325,-99.93898
Pincourt,QC,CAN,45.38452,-73.96874
Alma,QC,CAN,45.48093,-73.45331
Roberval,QC,CAN,48.50939,-72.23371
Orangeville,ON,CAN,43.91702,-80.10758
St. Agapit,QC,CAN,46.55712,-71.44352
Joliette,QC,CAN,46.13902,-73.42049
Cherepovets,,RUS,58.76477,38.38519
Warren,MI,USA,42.52144,-83.020184
Cornwall,ON,CAN,43.47106,-79.66781
Cranbrook,BC,CAN,49.5266,-115.75124
Samara,,RUS,51.9584,47.3483
Merrimack,NH,USA,42.866953,-71.495437
Alfred,ON,CAN,42.89928,-78.93502
Airdrie,AB,CAN,51.30006,-114.0194
Fredericton,NB,CAN,46.04135,-65.0502
Winterthur,,CHE,47.54291,8.83627
Markham,ON,CAN,43.85166,-79.25466
Newport News,VA,USA,36.977714,-76.430349
Ljunby,,SWE,65.43916,18.44356
St. Catharines,ON,CAN,43.09504,-79.54004
Oklahoma City,OK,USA,35.468494,-97.521264
Hermantown,MN,USA,46.778627,-92.180035
Coquitlam,BC,CAN,49.34461,-122.77255
Togliatti,,RUS,38.04807,-3.46205
Delta,BC,CAN,50.00306,-114.92954
Kazan,,RUS,55.88335,53.28768
Cherry Hill,NJ,USA,39.925801,-75.030928
Pelhrimov,,CZE,-31.50021,-68.52544
Ste-Agathe,QC,CAN,46.42825,-71.473
South St.Paul,MN,USA,44.89068,-93.037253
San Ramon,CA,USA,37.764907,-121.951061
Boxford,MA,USA,42.658945,-71.000636
Lakeville,MN,USA,44.655985,-93.242746
Yaroslavl,,RUS,58.76477,38.38519
Pisek,,CZE,49.31566,14.16162
Vancouver,BC,CAN,49.09779,-116.51051
Judique,NS,CAN,45.94364,-61.3912
Innisfil,ON,CAN,44.29772,-79.6236
Toronto,ON,CAN,43.83048,-80.83979
Newport Beach,CA,USA,33.615967,-117.930378
Oslo,,NOR,59.89485,10.68979
Boras,,SWE,57.12216,12.87264
Sarnia,ON,CAN,42.99477,-81.30133
Ottawa,ON,CAN,46.36898,-79.93836
Amsterdam,,NLD,52.371009,4.900112
Korkino,,RUS,59.29461,31.20438
Le Blanc-Mesnil,,FRA,48.94934,2.45157
Landsbro,,SWE,57.19266,15.15598
Phoenix,AZ,USA,33.448204,-112.072585
Morweena,MB,CAN,50.99404,-97.40668
Aneroid,SK,CAN,49.65461,-107.31422
Zurich,,CHE,47.397,8.41989
LaSalle,QC,CAN,46.27152,-70.99269
Nordingra,,SWE,62.92913,18.28722
Long Beach,CA,USA,33.767168,-118.193723
Winnipeg,MB,CAN,49.90601,-97.17097
Lulea,,SWE,65.58416,22.15475
Grande Prairie,AB,CAN,55.13956,-118.80502
Dubuque,IA,USA,42.505512,-90.667314
Lycksele,,SWE,64.59527,18.67043
Norrtälje,,SWE,59.45158,17.83554
Magnitogorsk,,RUS,53.39257,58.89178
St. Malo,MB,CAN,49.3138,-96.95277
Mlada Boleslav,,CZE,50.41075,14.90281
Nizhny Tagil,,RUS,57.90802,59.9367
Cardiff,,GBR,51.48353,-3.183687
Swan River,MB,CAN,52.11632,-101.26049
Havirov,,CZE,-31.50021,-68.52544
Eisenstadt,,AUT,47.84588,16.51797
Ivry-sur-Seine,,FRA,48.80781,2.37465
North York,ON,CAN,43.76654,-79.41375
Kosice,,SVK,48.67613,21.28394
Umea,,SWE,63.89795,19.90231
Northbrook,IL,USA,42.130979,-87.831558
Pardubice,,CZE,49.88986,16.11503
Trenton,MI,USA,42.141304,-83.190407
Pilsen,,CZE,49.52271,13.12021
Grosse Pointe,MI,USA,42.386476,-82.910913
Leksand,,SWE,60.73161,14.99708
Ostersund,,SWE,63.17916,14.63566
Sudbury,ON,CAN,43.64125,-79.41969
Karlstad,,SWE,59.88968,18.03408
Burnaby,BC,CAN,49.49763,-119.61182
Abbotsford,BC,CAN,49.09175,-122.28729
Sterling Heights,MI,USA,42.58968,-83.011059
Huddinge,,SWE,59.23615,17.97789
Jihlava,,CZE,49.39933,15.65341
Kramfors,,SWE,62.93037,17.77585
Hodonin,,CZE,49.50167,16.40954
Nizhnekamsk,,RUS,55.63313,51.80914
Sainte-Marie,QC,CAN,46.34166,-71.26128
Rodovre,,DNK,55.66548,12.45778
St. Hyacinthe,QC,CAN,45.27499,-71.20462
Omsk,,RUS,54.39234,74.58418
Plano,TX,USA,33.019695,-96.697586
Lac-Beauport,QC,CAN,47.02031,-71.3426
Montreal,QC,CAN,45.52944,-75.47438
Maplewood,MN,USA,45.006411,-93.025193
Sundbyberg,,SWE,59.36174,17.96967
Mt. Brydges,ON,CAN,42.91539,-81.5143
Smithtown,NY,USA,40.85496,-73.197132
Karkkila,,FIN,60.53414,24.2106
Chur,,CHE,46.84949,9.53067
Southampton,NJ,USA,39.8484,-74.674103
Victoriaville,QC,CAN,46.03018,-71.91712
Surrey,BC,CAN,49.21197,-122.81449
Pori,,FIN,61.47512,22.42728
Saint-Jerome,QC,CAN,45.77286,-73.96983
Praha,,CZE,50.05958,14.46584
Etobicoke,ON,CAN,43.67985,-79.75099
Bratislava,,SVK,48.3305,17.18118
New Rochelle,NY,USA,40.911546,-73.782337
Rumson,NJ,USA,40.376192,-74.009949
Gardena,CA,USA,33.883764,-118.309144
Wallaceburg,ON,CAN,45.31501,-75.93618
Sauble Beach,ON,CAN,44.65014,-81.25228
Prague,,CZE,50.05958,14.46584
Miramichi,NB,CAN,46.12595,-66.61258
Flin Flon,MB,CAN,54.77039,-101.8793
Holliston,MA,USA,42.20053,-71.42789
London,ON,CAN,43.81251,-81.37055
