Born,City,Pr/St,Cntry,Nat,LN,FN,Position,Team
1990/11/16,Merrimack,NH,US,US,Schaller,Tim,C,BOS
1990/09/20,Mississauga,ON,CA,CA,Tavares,John,C,NYI
1990/03/07,Detroit,MI,US,US,DeKeyser,Danny,D,DET
1982/02/14,Trencin,,SK,SK,Gaborik,Marian,RW,"LAK, OTT"
1991/08/02,Vancouver,BC,CA,CA,Kane,Evander,LW,"BUF, SJS"
1991/08/22,Saskatoon,SK,CA,CA,Schenn,Brayden,C,STL
1989/06/05,Riverside,CT,US,US,Atkinson,Cam,RW,CBJ
1992/07/18,Wisconsin Rapids,WI,US,US,Nelson,Casey,D,BUF
1991/04/12,Norrkoping,,SE,SE,Paajarvi,Magnus,LW,"STL, OTT"
1991/01/03,Hamilton,ON,CA,CA,Ellis,Ryan,D,NSH
1991/05/09,Carp,ON,CA,CA,de Haan,Calvin,D,NYI
1991/01/24,Windsor,ON,CA,CA,Kassian,Zack,RW,EDM
1995/08/02,Zilina,,SK,SK,Cehlarik,Peter,LW,BOS
1995/12/12,Brooklyn,NY,US,US,Labanc,Kevin,RW,SJS
1991/03/20,Eden Prairie,MN,US,US,Leddy,Nick,D,NYI
1985/05/16,Peterborough,ON,CA,CA,Perry,Corey,RW,ANA
1991/04/30,Boxford,MA,US,US,Kreider,Chris,LW,NYR
1991/03/02,Stockholm,,SE,SE,Josefson,Jacob,C,BUF
1990/11/19,Winnetka,IL,US,US,Moore,John,D,NJD
1991/01/21,Davidson,SK,CA,CA,McNabb,Brayden,D,VGK
1991/04/01,Toronto,ON,CA,CA,Smith,Reilly,RW,VGK
1989/05/10,Grand Prairie,AB,CA,CA,Rowney,Carter,RW,PIT
1990/12/01,Ilava,,SK,SK,Tatar,Tomas,LW,"DET, VGK"
1993/04/14,Kauniainen,,FI,FI,Kossila,Kalle,LW/C,ANA
1993/05/21,CAton,MA,US,US,Rooney,Kevin,C,NJD
1990/05/07,San Diego,CA,US,US,Ruhwedel,Chad,D,PIT
1991/12/31,Toronto,ON,CA,CA,Tanev,Brandon,LW,WPG
1991/07/23,Novokuznetsk,,RU,RU,Orlov,Dmitry,D,WSH
1988/09/24,Boston,MA,US,US,Carey,Paul,C,NYR
1991/04/10,Toronto,ON,CA,CA,Pirri,Brandon,RW/C,VGK
1991/09/06,Biddeford,ME,US,US,Dumoulin,Brian,D,PIT
